CASEID,AGE,SEX,GENHEALTH,ACT_CAREHH,ACT_CARENHH,ACT_EDUC,ACT_FOOD,ACT_HHACT,ACT_PURCH,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_VOL,ACT_WORK,ACT_SLEEPING
20100000000000,37,2,2,0,0,150,30,260,0,0,0,0,0,520,390
20100000000000,85,1,4,0,0,0,180,35,0,0,565,30,0,0,540
20100000000000,26,1,3,98,0,0,60,0,7,25,85,0,0,497,410
20100000000000,63,1,2,0,0,0,40,78,22,0,527,0,0,180,573
20100000000000,70,2,5,90,0,0,25,252,0,0,475,0,0,0,578
20100000000000,55,2,2,30,0,0,70,225,0,15,105,25,0,485,435
20100000000000,46,2,2,0,0,0,60,240,5,90,305,0,0,0,690
20100000000000,47,1,2,0,0,0,0,0,0,0,0,0,0,610,510
20100000000000,80,1,2,0,0,0,30,315,15,0,120,0,0,0,720
20100000000000,71,2,2,0,0,0,50,0,0,0,340,0,0,0,810
20100000000000,15,1,2,0,0,120,40,105,120,100,60,0,30,0,735
20100000000000,40,2,NA,20,0,0,110,0,0,0,265,0,0,495,420
20100000000000,22,2,4,0,120,0,100,22,0,0,840,0,0,0,338
20100000000000,85,2,4,0,0,0,55,225,0,0,455,0,0,0,705
20100000000000,44,1,3,0,0,0,60,0,90,0,650,0,0,0,570
20100000000000,70,1,4,0,0,0,45,120,0,0,775,0,0,0,480
20100000000000,61,1,4,0,0,0,60,65,0,0,780,20,0,0,505
20100000000000,56,1,2,0,0,0,90,210,30,0,205,0,0,120,540
20100000000000,51,1,2,127,0,0,75,120,0,0,90,0,0,450,400
